algorithm generator seed numberofsequences sizeofsequences cost scslength timems
dpscs random 1 2 33 bitcost 56 26.6511440277
dpscs random 1 2 34 bitcost 59 21.9378471375
dpscs random 1 2 35 bitcost 60 23.4770774841
dpscs random 1 2 36 bitcost 61 24.5950222015
dpscs random 1 2 37 bitcost 63 31.9590568542
dpscs random 1 2 38 bitcost 65 67.96002388
dpscs random 1 2 39 bitcost 68 31.1300754547
dpscs random 1 2 3 bitcost 4 1.16395950317
dpscs random 1 2 40 bitcost 70 47.89686203
dpscs random 1 2 41 bitcost 72 55.4530620575
dpscs random 1 2 42 bitcost 73 79.1780948639
dpscs random 1 2 43 bitcost 77 60.2791309357
dpscs random 1 2 44 bitcost 76 83.6880207062
dpscs random 1 2 45 bitcost 79 86.394071579
dpscs random 1 2 46 bitcost 81 56.7119121552
dpscs random 1 2 47 bitcost 83 62.6440048218
dpscs random 1 2 48 bitcost 85 99.3599891663
dpscs random 1 2 49 bitcost 87 46.777009964
dpscs random 1 2 4 bitcost 6 1.70087814331
dpscs random 1 2 50 bitcost 89 72.6680755615
dpscs random 1 2 51 bitcost 90 66.3640499115
dpscs random 1 2 52 bitcost 89 56.3609600067
dpscs random 1 2 53 bitcost 94 112.293958664
dpscs random 1 2 54 bitcost 96 114.986181259
dpscs random 1 2 55 bitcost 99 116.761922836
dpscs random 1 2 56 bitcost 100 120.030879974
dpscs random 1 2 57 bitcost 104 124.417066574
dpscs random 1 2 58 bitcost 106 126.569986343
dpscs random 1 2 59 bitcost 105 120.360136032
dpscs random 1 2 5 bitcost 7 1.83010101318
dpscs random 1 2 60 bitcost 108 132.447957993
dpscs random 1 2 61 bitcost 109 137.982130051
dpscs random 1 2 62 bitcost 111 145.749807358
dpscs random 1 2 63 bitcost 114 142.899036407
dpscs random 1 2 64 bitcost 117 144.860982895
dpscs random 1 2 65 bitcost 119 151.388168335
dpscs random 1 2 66 bitcost 121 153.917789459
dpscs random 1 2 67 bitcost 121 157.408952713
dpscs random 1 2 68 bitcost 124 158.006191254
dpscs random 1 2 69 bitcost 124 164.141893387
dpscs random 1 2 6 bitcost 9 3.16596031189
dpscs random 1 2 70 bitcost 127 159.620046616
dpscs random 1 2 71 bitcost 128 153.990983963
dpscs random 1 2 72 bitcost 128 153.221130371
dpscs random 1 2 73 bitcost 129 178.354024887
dpscs random 1 2 74 bitcost 132 181.41913414
dpscs random 1 2 75 bitcost 135 184.443950653
dpscs random 1 2 76 bitcost 135 188.057184219
dpscs random 1 2 77 bitcost 138 156.72492981
dpscs random 1 2 78 bitcost 141 194.819927216
dpscs random 1 2 79 bitcost 142 142.685174942
dpscs random 1 2 7 bitcost 11 3.8959980011
dpscs random 1 2 80 bitcost 145 199.864149094
dpscs random 1 2 81 bitcost 148 205.929994583
dpscs random 1 2 82 bitcost 151 190.52696228
dpscs random 1 2 83 bitcost 150 211.189031601
dpscs random 1 2 84 bitcost 154 215.818166733
dpscs random 1 2 85 bitcost 153 219.559907913
dpscs random 1 2 86 bitcost 157 224.354982376
dpscs random 1 2 87 bitcost 159 177.894115448
dpscs random 1 2 88 bitcost 161 231.518030167
dpscs random 1 2 89 bitcost 161 234.352111816
dpscs random 1 2 8 bitcost 12 4.81390953064
dpscs random 1 2 90 bitcost 161 239.492177963
dpscs random 1 2 91 bitcost 166 242.206096649
dpscs random 1 2 92 bitcost 166 236.724853516
dpscs random 1 2 93 bitcost 169 246.308088303
dpscs random 1 2 94 bitcost 171 215.9512043
dpscs random 1 2 95 bitcost 172 254.085063934
dpscs random 1 2 96 bitcost 176 258.97693634
dpscs random 1 2 97 bitcost 175 375.391960144
dpscs random 1 2 98 bitcost 179 364.488124847
dpscs random 1 2 99 bitcost 179 405.113935471
dpscs random 1 2 9 bitcost 14 5.85603713989
dpscs random 1 3 10 bitcost 18 31.4521789551
dpscs random 1 3 11 bitcost 22 66.978931427
dpscs random 1 3 12 bitcost 25 52.9139041901
dpscs random 1 3 13 bitcost 28 100.576162338
dpscs random 1 3 14 bitcost 29 79.8969268799
dpscs random 1 3 15 bitcost 32 179.138183594
dpscs random 1 3 16 bitcost 35 138.828992844
dpscs random 1 3 17 bitcost 38 155.401945114
dpscs random 1 3 18 bitcost 40 210.956096649
dpscs random 1 3 19 bitcost 43 201.138019562
dpscs random 1 3 20 bitcost 45 316.169977188
dpscs random 1 3 21 bitcost 45 271.969079971
dpscs random 1 3 22 bitcost 49 350.55398941
dpscs random 1 3 23 bitcost 53 379.866123199
dpscs random 1 3 24 bitcost 54 404.467821121
dpscs random 1 3 25 bitcost 57 489.161968231
dpscs random 1 3 26 bitcost 58 507.298946381
dpscs random 1 3 27 bitcost 60 566.065073013
dpscs random 1 3 28 bitcost 62 658.383846283
dpscs random 1 3 29 bitcost 62 776.768922806
dpscs random 1 3 2 bitcost 3 0.884056091309
dpscs random 1 3 30 bitcost 69 806.168079376
dpscs random 1 3 31 bitcost 71 880.071163177
dpscs random 1 3 32 bitcost 74 950.170993805
dpscs random 1 3 33 bitcost 73 1058.67004395
dpscs random 1 3 34 bitcost 77 1131.26897812
dpscs random 1 3 35 bitcost 78 1287.10985184
dpscs random 1 3 36 bitcost 81 1322.46494293
dpscs random 1 3 37 bitcost 85 1464.79797363
dpscs random 1 3 38 bitcost 88 1560.13298035
dpscs random 1 3 39 bitcost 93 1731.52899742
dpscs random 1 3 3 bitcost 5 1.39594078064
dpscs random 1 3 40 bitcost 97 1806.3390255
dpscs random 1 3 41 bitcost 96 1915.45987129
dpscs random 1 3 42 bitcost 100 2106.85801506
dpscs random 1 3 43 bitcost 105 2245.32198906
dpscs random 1 3 44 bitcost 104 2368.62492561
dpscs random 1 3 45 bitcost 106 2523.49591255
dpscs random 1 3 46 bitcost 109 2686.47003174
dpscs random 1 3 47 bitcost 113 2870.63884735
dpscs random 1 3 48 bitcost 116 3056.6880703
dpscs random 1 3 49 bitcost 119 3239.58301544
dpscs random 1 3 4 bitcost 7 5.10597229004
dpscs random 1 3 50 bitcost 121 3469.17414665
dpscs random 1 3 51 bitcost 123 3697.68095016
dpscs random 1 3 52 bitcost 124 3861.98306084
dpscs random 1 3 53 bitcost 130 4169.69895363
dpscs random 1 3 54 bitcost 132 4359.582901
dpscs random 1 3 55 bitcost 135 4576.16305351
dpscs random 1 3 56 bitcost 136 4870.74494362
dpscs random 1 3 57 bitcost 143 5087.96715736
dpscs random 1 3 58 bitcost 143 5358.82210732
dpscs random 1 3 59 bitcost 145 5705.1858902
dpscs random 1 3 5 bitcost 9 7.08603858948
dpscs random 1 3 60 bitcost 148 5913.30099106
dpscs random 1 3 61 bitcost 150 6192.58785248
dpscs random 1 3 62 bitcost 151 6507.64107704
dpscs random 1 3 63 bitcost 156 6841.15386009
dpscs random 1 3 64 bitcost 160 7123.46100807
dpscs random 1 3 65 bitcost 163 7483.19101334
dpscs random 1 3 66 bitcost 167 7831.39705658
dpscs random 1 3 67 bitcost 170 8192.54589081
dpscs random 1 3 68 bitcost 173 8558.51507187
dpscs random 1 3 69 bitcost 173 8901.85618401
dpscs random 1 3 6 bitcost 11 7.67803192139
dpscs random 1 3 70 bitcost 179 9344.92397308
dpscs random 1 3 71 bitcost 179 9726.03797913
dpscs random 1 3 72 bitcost 181 10665.6970978
dpscs random 1 3 73 bitcost 183 25071.8328953
dpscs random 1 3 74 bitcost 186 12628.731966
dpscs random 1 3 75 bitcost 192 11600.5160809
dpscs random 1 3 76 bitcost 191 12083.4591389
dpscs random 1 3 77 bitcost 196 12482.2089672
dpscs random 1 3 78 bitcost 197 12891.2642002
dpscs random 1 3 79 bitcost 199 13452.3079395
dpscs random 1 3 7 bitcost 14 13.5078430176
dpscs random 1 3 80 bitcost 202 14004.5828819
dpscs random 1 3 8 bitcost 16 17.786026001
dpscs random 1 3 9 bitcost 17 36.7817878723
dpscs random 1 4 10 bitcost 22 472.187042236
dpscs random 1 4 11 bitcost 25 652.855873108
dpscs random 1 4 12 bitcost 28 944.324970245
dpscs random 1 4 13 bitcost 32 1321.0401535
dpscs random 1 4 14 bitcost 34 1655.85398674
dpscs random 1 4 15 bitcost 37 2171.01097107
dpscs random 1 4 16 bitcost 41 2765.11502266
dpscs random 1 4 17 bitcost 45 3483.53791237
dpscs random 1 4 18 bitcost 48 4322.98398018
dpscs random 1 4 19 bitcost 51 5340.46912193
dpscs random 1 4 20 bitcost 53 6553.54094505
dpscs random 1 4 21 bitcost 54 7851.8538475
dpscs random 1 4 22 bitcost 58 9453.88698578
dpscs random 1 4 23 bitcost 63 11189.7809505
dpscs random 1 4 24 bitcost 66 13245.1868057
dpscs random 1 4 25 bitcost 67 15462.5329971
dpscs random 1 4 26 bitcost 71 19527.1029472
dpscs random 1 4 27 bitcost 72 23163.3269787
dpscs random 1 4 28 bitcost 76 25069.455862
dpscs random 1 4 29 bitcost 77 30262.5160217
dpscs random 1 4 2 bitcost 3 2.09188461304
dpscs random 1 4 30 bitcost 84 34277.1348953
dpscs random 1 4 31 bitcost 85 43067.9941177
dpscs random 1 4 32 bitcost 89 44097.3289013
dpscs random 1 4 33 bitcost 92 53755.0370693
dpscs random 1 4 34 bitcost 96 51999.5100498
dpscs random 1 4 35 bitcost 97 58073.6269951
dpscs random 1 4 3 bitcost 5 17.6041126251
dpscs random 1 4 4 bitcost 7 41.6810512543
dpscs random 1 4 5 bitcost 11 42.8569316864
dpscs random 1 4 6 bitcost 12 69.5469379425
dpscs random 1 4 7 bitcost 16 204.905986786
dpscs random 1 4 8 bitcost 18 188.340902328
dpscs random 1 4 9 bitcost 20 367.129802704
dpscs random 1 5 10 bitcost 23 6071.81310654
dpscs random 1 5 11 bitcost 29 9740.13900757
dpscs random 1 5 12 bitcost 31 14722.1240997
dpscs random 1 5 13 bitcost 35 21648.4308243
dpscs random 1 5 14 bitcost 38 30737.4000549
dpscs random 1 5 15 bitcost 43 42571.4352131
dpscs random 1 5 16 bitcost 47 58104.3069363
dpscs random 1 5 17 bitcost 50 79839.2651081
dpscs random 1 5 18 bitcost 54 134187.503099
dpscs random 1 5 19 bitcost 54 157857.184887
dpscs random 1 5 20 bitcost 58 172709.496975
dpscs random 1 5 2 bitcost 3 16.2160396576
dpscs random 1 5 3 bitcost 5 50.20403862
dpscs random 1 5 4 bitcost 8 178.945064545
dpscs random 1 5 5 bitcost 12 336.946964264
dpscs random 1 5 6 bitcost 13 656.713962555
dpscs random 1 5 7 bitcost 16 1178.17997932
dpscs random 1 5 8 bitcost 20 2212.266922
dpscs random 1 5 9 bitcost 22 3800.47106743
dpscs random 1 6 10 bitcost 25 82190.735817
dpscs random 1 6 11 bitcost 32 140712.34107
dpscs random 1 6 12 bitcost 35 235784.423113
dpscs random 1 6 13 bitcost 39 416359.634876
dpscs random 1 6 14 bitcost 41 701536.240101
dpscs random 1 6 2 bitcost 3 46.7898845673
dpscs random 1 6 3 bitcost 5 145.823955536
dpscs random 1 6 4 bitcost 9 594.419002533
dpscs random 1 6 5 bitcost 12 1900.45905113
dpscs random 1 6 6 bitcost 14 4784.31296349
dpscs random 1 6 7 bitcost 17 10753.6699772
dpscs random 1 6 8 bitcost 21 22521.171093
dpscs random 1 6 9 bitcost 24 43674.279213
dpscs random 1 7 10 bitcost 28 1224125.40388
dpscs random 1 7 2 bitcost 3 129.853963852
dpscs random 1 7 3 bitcost 6 664.208889008
dpscs random 1 7 4 bitcost 9 3151.46303177
dpscs random 1 7 5 bitcost 12 11966.9721127
dpscs random 1 7 6 bitcost 15 37440.3688908
dpscs random 1 7 7 bitcost 18 104258.973122
dpscs random 1 7 8 bitcost 21 246811.496973
dpscs random 1 7 9 bitcost 26 533067.774057
dpscs random 1 8 2 bitcost 3 303.339958191
dpscs random 1 8 3 bitcost 7 2717.01812744
dpscs random 1 8 4 bitcost 9 18151.2031555
dpscs random 1 8 5 bitcost 12 84583.6877823
dpscs random 1 8 6 bitcost 15 310363.503218
dpscs random 1 8 7 bitcost 19 995240.254879
dpscs random 1 9 2 bitcost 3 803.21598053
dpscs random 1 9 3 bitcost 7 11832.3719501
dpscs random 1 9 4 bitcost 9 100220.135927
dpscs random 1 9 5 bitcost 12 571086.421967
dpscs random 2 10 2 bitcost 3 2427.49881744
dpscs random 2 10 3 bitcost 6 57234.2569828
dpscs random 2 10 4 bitcost 10 555361.063957
dpscs random 2 11 2 bitcost 3 13824.0070343
dpscs random 2 11 3 bitcost 6 335622.895002
dpscs random 2 12 2 bitcost 3 34914.1588211
dpscs random 2 12 3 bitcost 6 962209.713936
dpscs random 2 2 100 bitcost 184 363.682985306
dpscs random 2 2 101 bitcost 183 355.330944061
dpscs random 2 2 102 bitcost 187 522.018909454
dpscs random 2 2 103 bitcost 188 503.394842148
dpscs random 2 2 104 bitcost 189 402.638912201
dpscs random 2 2 105 bitcost 193 455.065965652
dpscs random 2 2 106 bitcost 194 305.693149567
dpscs random 2 2 107 bitcost 194 282.585144043
dpscs random 2 2 108 bitcost 202 402.235984802
dpscs random 2 2 109 bitcost 202 425.849914551
dpscs random 2 2 10 bitcost 16 2.49600410461
dpscs random 2 2 110 bitcost 205 442.809104919
dpscs random 2 2 111 bitcost 207 383.989095688
dpscs random 2 2 112 bitcost 209 402.048826218
dpscs random 2 2 113 bitcost 210 589.169025421
dpscs random 2 2 114 bitcost 212 564.881801605
dpscs random 2 2 115 bitcost 212 508.844137192
dpscs random 2 2 116 bitcost 216 490.831136703
dpscs random 2 2 117 bitcost 217 427.630901337
dpscs random 2 2 118 bitcost 220 511.377096176
dpscs random 2 2 119 bitcost 223 503.983974457
dpscs random 2 2 11 bitcost 18 2.94208526611
dpscs random 2 2 120 bitcost 223 544.404029846
dpscs random 2 2 121 bitcost 225 481.005907059
dpscs random 2 2 122 bitcost 226 628.828048706
dpscs random 2 2 123 bitcost 229 577.435970306
dpscs random 2 2 124 bitcost 229 592.485904694
dpscs random 2 2 125 bitcost 233 751.201868057
dpscs random 2 2 126 bitcost 233 651.72791481
dpscs random 2 2 127 bitcost 234 609.853982925
dpscs random 2 2 128 bitcost 238 652.44102478
dpscs random 2 2 129 bitcost 240 512.783050537
dpscs random 2 2 12 bitcost 20 3.4339427948
dpscs random 2 2 130 bitcost 238 486.675024033
dpscs random 2 2 131 bitcost 243 478.150129318
dpscs random 2 2 132 bitcost 241 436.280965805
dpscs random 2 2 133 bitcost 243 331.960916519
dpscs random 2 2 134 bitcost 248 685.847043991
dpscs random 2 2 135 bitcost 250 562.466144562
dpscs random 2 2 136 bitcost 253 470.346927643
dpscs random 2 2 137 bitcost 254 715.897083282
dpscs random 2 2 138 bitcost 255 701.758861542
dpscs random 2 2 139 bitcost 259 831.686973572
dpscs random 2 2 13 bitcost 20 3.92603874207
dpscs random 2 2 140 bitcost 260 802.468061447
dpscs random 2 2 141 bitcost 263 419.588088989
dpscs random 2 2 142 bitcost 265 570.647954941
dpscs random 2 2 143 bitcost 265 740.997076035
dpscs random 2 2 144 bitcost 268 922.584056854
dpscs random 2 2 145 bitcost 272 825.711965561
dpscs random 2 2 146 bitcost 271 538.813829422
dpscs random 2 2 147 bitcost 274 695.176124573
dpscs random 2 2 148 bitcost 275 580.62005043
dpscs random 2 2 149 bitcost 276 806.743860245
dpscs random 2 2 14 bitcost 23 4.48107719421
dpscs random 2 2 150 bitcost 279 874.042034149
dpscs random 2 2 151 bitcost 280 974.733114243
dpscs random 2 2 152 bitcost 284 938.554048538
dpscs random 2 2 153 bitcost 286 691.009998322
dpscs random 2 2 154 bitcost 289 982.171058655
dpscs random 2 2 155 bitcost 290 895.426988602
dpscs random 2 2 156 bitcost 291 992.0399189
dpscs random 2 2 157 bitcost 293 907.525062561
dpscs random 2 2 158 bitcost 293 541.292905807
dpscs random 2 2 159 bitcost 297 638.8630867
dpscs random 2 2 15 bitcost 25 5.07998466492
dpscs random 2 2 160 bitcost 297 1110.66794395
dpscs random 2 2 161 bitcost 297 1039.48307037
dpscs random 2 2 162 bitcost 301 520.112037659
dpscs random 2 2 163 bitcost 303 978.133916855
dpscs random 2 2 164 bitcost 303 1032.80496597
dpscs random 2 2 165 bitcost 306 947.657823563
dpscs random 2 2 166 bitcost 309 1174.29494858
dpscs random 2 2 167 bitcost 313 689.306020737
